"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703733","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","32580","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703732","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","32580","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703731","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","32580","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703730","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703729","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703728","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703727","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703726","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703725","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:32","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-3073522288-1489926022-2671101856-1001
	Account Name:		Taral
	Account Domain:		DESKTOP-P2LJSMT
	Logon ID:		0x96F7A
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","5379","0",,"0","13824","0","-9214364837600034816","703724","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","1120","1236","DESKTOP-P2LJSMT",,"27-12-2024 06:44:11","5eb8269d-3c6a-0002-4639-b85e6a3cdb01",,"Security","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
